TICKER,Year,Current_Ratio,Debt_to_Equity,Net_Income_to_Assets,Operating_Margin,Cash_Ratio,Operating_Cash_Flow_Ratio,Settore,esg overall,esg environmental,esg social,esg governance,downside risk
ADI,2018-01-01,1.5020758983774345,0.8610096475507236,0.0701227319976215,0.3034595373098353,0.0863091017509465,0.2475384207453105,Semiconductors & Semiconductor Equipment,4.51,,,,0.0062069512237512
ADI,2019-01-01,1.3158450422343178,0.826996115621554,0.063123361370635,0.2855265216652289,0.0669515304497805,0.23106569059353,Semiconductors & Semiconductor Equipment,4.8,,,,0.0125284119919074
ADI,2020-01-01,1.84447899696962,0.7893566739733567,0.0588609509912459,0.2673976422892736,0.1114875036833911,0.2195276865519921,Semiconductors & Semiconductor Equipment,4.89,,,,0.0080312923305728
ADI,2021-01-01,1.9414120562723232,0.377166892270053,0.0256882950573476,0.2312291418825176,0.138034127508901,0.1845057686267001,Semiconductors & Semiconductor Equipment,4.43,,,,0.0090932330464438
ADI,2022-01-01,2.021567543519072,0.3794571349118538,0.0508991395196058,0.2729076779708377,0.1062780288932063,0.3012885284633492,Semiconductors & Semiconductor Equipment,4.82,,,,0.0101518822683415
ADI,2023-01-01,1.3695912974353135,0.3719755550886467,0.0670048009833795,0.3106822088562999,0.0724193226156696,0.3592057935010113,Semiconductors & Semiconductor Equipment,4.93,,,,0.0082160450621032
ADM,2016-01-01,1.597585975604508,1.314708102398632,0.030662263127306,0.0254066026051932,0.0487869677592058,0.0622576318609051,Food & Tobacco,3.44,2.84,1.78,6.83,0.0041553316076425
ADM,2017-01-01,1.5851233058376708,1.1748571402027226,0.0425605363715046,0.0220293277627107,0.0415045404907647,0.1092146296602242,Food & Tobacco,3.47,2.88,1.79,6.83,0.0028237642162597
ADM,2018-01-01,1.7483016302762249,1.1440273033479185,0.0430201687969776,0.0286753394748187,0.0919772364220464,-0.2130976316062417,Food & Tobacco,3.64,2.92,1.8,7.59,0.0025244341036133
ADM,2019-01-01,1.554317752851934,1.281647043606313,0.0314430529114349,0.0208951990607972,0.0344743885656375,-0.2213075922888493,Food & Tobacco,3.83,3.28,1.77,7.66,0.0091415597584449
ADM,2020-01-01,1.500714996426766,1.47407444078442,0.038219661737528,0.0261984305536745,0.0224825314930659,-0.0863747692837149,Food & Tobacco,4.86,3.28,5.41,7.41,0.0022287058885863
ADM,2021-01-01,1.453845457574798,1.4656740030408475,0.0464826898440863,0.0331851405281419,0.0282597626863333,0.190368604118197,Food & Tobacco,5.61,4.37,5.92,7.64,0.0024611186657294
ADM,2022-01-01,1.463767517627744,1.4282580451691345,0.0739996924283329,0.0408247664495134,0.0294954216004427,0.1008226083345082,Food & Tobacco,5.83,4.96,5.6,7.66,0.0034950252328712
ADM,2023-01-01,1.5950594787526795,1.2330267703123552,0.0652360747861349,0.0395486236721574,0.0453490679164993,0.1512831745967567,Food & Tobacco,5.83,4.96,5.6,7.66,0.0019154980438701
ADP,2015-01-01,1.0625329641660723,5.885827235540415,0.0409261155054742,0.1841203041315143,0.059882692129754,0.0628151997317794,Software & IT Services,2.54,1.01,1.3,7.02,0.0037169349544463
ADP,2016-01-01,1.101904181992558,8.744287797391378,0.0341072437367586,0.1877389029741464,0.0822284148284119,0.0473639066664244,Software & IT Services,2.44,0.0,1.5,8.44,0.0036200117327874
ADP,2017-01-01,1.0953451022239575,8.348755337306523,0.0488374303179254,0.187951343648737,0.0837394218267625,0.0670700896175035,Software & IT Services,2.44,0.0,1.65,8.09,0.002443772952655
ADP,2018-01-01,1.0538048790176204,9.720516764963383,0.0427816639210062,0.1884839924179902,0.0646255773047323,0.0732195654061933,Software & IT Services,3.51,2.2,1.81,8.34,0.0024445492933856
ADP,2019-01-01,1.052550441675528,6.757125085688414,0.0545118864740521,0.2133585410710534,0.0537083629063122,0.0733739013446825,Software & IT Services,3.9,2.66,2.31,8.22,0.004684289763179
ADP,2020-01-01,1.04771530675638,5.808786224113633,0.0640440354598286,0.2153353725309558,0.0571179750105749,0.0921042125789705,Software & IT Services,4.09,3.09,2.29,8.48,0.0016943368890377
ADP,2021-01-01,1.069484549401392,7.601700211667056,0.0529375080690906,0.2215602352670464,0.0599873795658482,0.0713076906715936,Software & IT Services,3.7,2.17,2.12,8.55,0.0019621910722566
ADP,2022-01-01,0.9935857808064672,18.55421202539504,0.04354487727435,0.2305207229008632,0.0247865670298562,0.0482354654288193,Software & IT Services,3.36,2.13,1.57,8.31,0.0027334651845343
ADP,2023-01-01,0.9860408332321376,13.525376859390684,0.0698828962835002,0.2502415056038044,0.044208090019019,0.0925495587770233,Software & IT Services,3.36,2.13,1.57,8.31,0.0012851843294152
AEE,2016-01-01,0.5957367243187354,1.2611271688678651,0.025206475918627,0.2272876907525262,0.0005156391694721,0.1159667186616324,Multiline Utilities,3.74,3.04,1.78,7.81,0.0036452786759998
AEE,2017-01-01,0.5482993245680687,1.2911927911619192,0.0214957437370558,0.228377057055265,0.0005370868368901,0.1213037103866819,Multiline Utilities,4.1,3.21,2.5,7.93,0.0036690008727277
AEE,2018-01-01,0.5705247347212657,1.2437308084037255,0.0290639135635106,0.2157049694403368,0.0008229630305797,0.1083237326182899,Multiline Utilities,4.38,3.78,2.43,8.07,0.0025315571804726
AEE,2019-01-01,0.5712574628583458,1.209215512259972,0.0287091527709619,0.2143823980797398,0.0007717527279084,0.1050030822608474,Multiline Utilities,5.51,4.77,4.51,8.03,0.0027453166351769
AEE,2020-01-01,0.7582568518460676,1.1385057988636609,0.0291612890470526,0.2243700478589814,0.0060566432138963,0.0806965806078335,Multiline Utilities,4.92,4.16,3.58,7.98,0.002548081286387
AEE,2021-01-01,0.6963906540680939,1.1569827196562732,0.0266848712668126,0.2084766935435863,0.0003088099788018,0.0617579654345811,Multiline Utilities,5.2,4.7,3.84,7.71,0.0021700425219241
AEE,2022-01-01,0.7926322066279833,1.1210837900804302,0.0288783073115997,0.1903983956941324,0.0003667438231583,0.0845862365877201,Multiline Utilities,5.26,4.37,4.58,7.71,0.0027706104146759
AEE,2023-01-01,0.6520179197768385,1.1035001323154403,0.0288699864752829,0.207733332168433,0.000851730481292,0.089382769701717,Multiline Utilities,,,,,0.0015944733154514
AES,2015-01-01,0.9879136778065888,4.492621825691415,0.0081343996520992,0.1784401505357976,0.0579277380392228,0.0693550957792603,Electrical Utilities & IPPs,4.14,2.21,4.17,8.34,0.0032737841351619
AES,2016-01-01,1.216047032417901,4.572199901282554,-0.0298277885058058,0.1648020004289643,0.0709585982793923,0.0927767957430333,Electrical Utilities & IPPs,4.27,2.28,4.59,8.23,0.0036047646300579
AES,2017-01-01,1.0613802281216402,4.8275254752884535,-0.0373896399587085,0.2135802437016573,0.0500546860750103,0.0967617206862869,Electrical Utilities & IPPs,3.74,1.42,5.3,7.31,0.0073331464020556
AES,2018-01-01,1.1400318240123062,4.016350463632887,0.0359010005465309,0.2217771962409166,0.0710115965728075,0.0873312111522688,Electrical Utilities & IPPs,4.63,2.94,5.17,7.45,0.0032388250242074
AES,2019-01-01,1.0264913614704103,4.500735658288882,0.0090337251608474,0.2113063124340263,0.0519051235764073,0.0898575528892487,Electrical Utilities & IPPs,4.66,3.1,4.82,7.64,0.0034954496165536
AFL,2016-01-01,,5.338199395685015,,,,0.0522060043548093,Insurance,1.6,0.0,0.75,6.36,0.0043049016216375
AFL,2017-01-01,,4.578380361046886,,,,0.0580245231698817,Insurance,1.71,0.0,0.82,6.85,0.0029556186590359
AFL,2018-01-01,,4.98440031322699,,,,0.0499103139494745,Insurance,1.79,0.0,0.97,7.02,0.0022933938388437
AFL,2019-01-01,,4.275320279219192,,,,0.0442003846643329,Insurance,1.96,0.16,0.94,7.43,0.0119363245167518
AFL,2020-01-01,,3.9192765060004993,,,,0.048577043675153,Insurance,1.99,0.16,0.96,7.55,0.0018688846564319
AFL,2021-01-01,,3.737677807680328,,,,0.0391442873130721,Insurance,2.16,0.5,0.73,7.86,0.0026209599901749
AFL,2022-01-01,,4.858126542986839,,,,0.0363860207451541,Insurance,2.07,0.48,0.65,7.63,0.0034416149348618
AFL,2023-01-01,,4.76411189168885,,,,0.0311641830997763,Insurance,2.07,0.48,0.65,7.63,0.002058754805086
AIZ,2017-01-01,,6.437346652112415,,,,0.0205213138568398,Insurance,2.01,0.22,0.82,7.73,0.00238119519908
AIZ,2018-01-01,,7.00352558494449,,,,0.017725877612928,Insurance,2.06,0.22,0.87,7.92,0.0029263019145
AIZ,2019-01-01,,6.794864524460716,,,,0.0367247552606248,Insurance,2.07,0.27,1.09,7.38,0.0059177934222913
AIZ,2020-01-01,,6.498136009798394,,,,0.0371913584464208,Insurance,2.32,0.27,1.88,7.27,0.0031956352212985
AIZ,2021-01-01,,5.177295660220207,,,,0.0264850711211571,Insurance,2.41,0.26,2.21,7.22,0.0034758989887042
AIZ,2022-01-01,,6.833092899199984,,,,0.0210537719251779,Insurance,2.47,0.26,2.43,7.31,0.0041597792009514
AIZ,2023-01-01,,5.993492058350747,,,,0.0403993194444592,Insurance,2.47,0.26,2.34,7.31,0.0030323050407144
AKAM,2019-01-01,3.218660357288156,0.9155184258247124,0.0684412835140101,0.1896996154748501,0.7083992312211139,0.3170210689942838,Software & IT Services,3.53,3.54,1.78,6.52,0.0090477324939009
AKAM,2020-01-01,2.544984520623045,0.8262972011817425,0.0769396084721169,0.2059109930500547,0.7107865024330396,0.3709062497585683,Software & IT Services,4.61,5.13,2.74,7.06,0.0132589723700241
AKAM,2021-01-01,2.429880397733003,0.7966110040447822,0.0771221599434244,0.2262633686403812,0.6002902899763506,0.3749031435964847,Software & IT Services,4.1,3.96,2.22,7.45,0.0135235119420676
AKAM,2022-01-01,2.4052251418651367,0.904367866589505,0.0642770423888917,0.1869888568304552,0.3615952372822844,0.3294595452876033,Software & IT Services,4.03,3.6,2.3,7.45,0.0162581986741278
AKAM,2023-01-01,2.158819413684937,1.1535138784742034,0.056600865579306,0.1671960574273384,0.4329330592454806,0.2601913432320259,Software & IT Services,,,,,0.0106416374764298
ALB,2015-01-01,1.1325663637349814,1.8268536221900549,0.0341204445802431,0.1211707428927924,0.0343972138333388,0.056862272121724,Chemicals,2.68,0.85,2.31,7.71,0.0080432641701994
ALB,2016-01-01,2.900280182579835,1.0700042299242585,0.0751952819080464,0.214608657421401,0.5380349762333901,0.165749565504709,Chemicals,4.01,1.69,5.84,7.15,0.0085336567375526
ALB,2017-01-01,2.063045666233607,1.030222433528445,0.0075463341058133,0.1913260260943949,0.2891637352209515,0.082416781812866,Chemicals,3.81,1.35,5.6,7.52,0.0052943968339619
ALB,2018-01-01,1.6890352921681708,1.0168811156309856,0.0887820117141386,0.2700899280820784,0.1452741354787924,0.1386671719740166,Chemicals,5.06,2.57,7.77,7.51,0.0076748141680066
ALB,2019-01-01,1.579215915546207,1.4088604583108997,0.0542477211936193,0.1855792129153337,0.1063082952809887,0.1251315916004192,Chemicals,5.54,3.27,8.04,7.58,0.0073784872483007
ALB,2020-01-01,1.2244000648345676,1.33875488893964,0.0385571660200422,0.1616576061848536,0.1248211442862574,0.1432100629820194,Chemicals,6.06,4.04,8.43,7.6,0.0193602982561516
ALB,2021-01-01,1.0713031681745155,0.8902619477006753,0.0108548893255146,0.2399171452388935,0.0849900477076462,0.0641565647569142,Chemicals,5.29,4.48,4.35,7.9,0.0079021035706632
ALB,2022-01-01,1.8923344436605647,0.8870480616683709,0.1773631104414128,0.3374352393162297,0.2063320998719679,0.267621219749709,Chemicals,5.58,5.15,4.34,7.76,0.0098164407824948
ALB,2023-01-01,1.4652365132736478,0.8903740088205678,0.0881210337815708,0.0261906719024444,0.1034099705343663,0.157585334889745,Chemicals,5.58,5.15,4.34,7.76,0.0085063607762804
ALL,2016-01-01,,4.279249493465368,,,,0.0432426616794828,Insurance,2.47,0.27,2.14,7.61,0.0037974095901763
ALL,2017-01-01,,3.9852334750929934,,,,0.0511876336376675,Insurance,2.55,0.46,2.07,7.52,0.0028638973747817
ALL,2018-01-01,,4.26693881752877,,,,0.0552299381879506,Insurance,2.55,0.48,2.07,7.44,0.0030163275231695
ALL,2019-01-01,,3.6138164539395,,,,0.054765892991053,Insurance,2.31,0.07,2.22,7.36,0.0067861965184497
ALL,2020-01-01,,3.1694079507383432,,,,0.0614847560817565,Insurance,3.55,0.54,5.46,7.48,0.0022681960335193
ALL,2021-01-01,,2.9574959264587743,,,,0.0663115917398163,Insurance,3.46,0.54,5.35,7.2,0.0027729859873083
ALL,2022-01-01,,4.645936603424477,,,,0.0647492181469626,Insurance,3.45,0.54,5.33,7.17,0.0035250964459178
ALL,2023-01-01,,4.862847429918456,,,,0.0504621230008492,Insurance,3.45,0.54,5.33,7.17,0.0021943166722502
ALLE,2017-01-01,2.241102402756294,5.268803607963633,0.1146485470878383,0.2045096053366195,0.2182073799270014,0.1732930968171944,Communications & Networking,2.5,0.54,1.73,7.6,0.0021881035037458
ALLE,2018-01-01,1.7887866706452549,3.296941773235346,0.1501955361161615,0.1924808899826883,0.1316204585558901,0.206058990813331,Communications & Networking,3.36,2.14,1.73,7.7,0.0022722798497986
ALLE,2019-01-01,1.9759367189394683,2.90215663538771,0.135845921712542,0.1980027868692172,0.1610023770288894,0.2219311508834543,Communications & Networking,2.49,0.54,1.73,7.54,0.007845100508873
ALLE,2020-01-01,2.19558943600676,2.686524191433573,0.1098086130690645,0.148351054428308,0.2147710766607715,0.2350608159301889,Communications & Networking,3.02,1.72,1.73,7.02,0.0010907728814872
ALLE,2021-01-01,1.8589486434998577,3.001836485441481,0.1524855235274284,0.1849061936559228,0.1738617718906496,0.205639836134336,Communications & Networking,3.51,1.82,2.72,7.46,0.0016627882626643
ALLE,2022-01-01,1.7262648448427358,3.22572776393116,0.1169538315159583,0.1792230843625966,0.0945285201860881,0.1537121821759428,Communications & Networking,3.22,1.59,2.72,6.68,0.0021011511526818
ALLE,2023-01-01,1.260442680908488,2.270499808606152,0.1282509177166603,0.1940396665668354,0.156387820625252,0.2053161536506154,Communications & Networking,3.22,1.59,2.72,6.68,0.0008465992921072
AMAT,2015-01-01,2.438388625454954,1.0107710521397135,0.0871727855636227,0.1752769378956337,0.6452241717353032,0.1464659018437033,Semiconductors & Semiconductor Equipment,4.23,,,,0.0040138414881223
AMAT,2016-01-01,2.2998347945552657,1.021338517875713,0.116379949499766,0.1987990791756067,0.6346492996084694,0.3300347895263341,Semiconductors & Semiconductor Equipment,4.47,,,,0.0033794371098011
AMAT,2017-01-01,3.139246711953571,1.0771205466364169,0.1849446240436534,0.2660796563217744,0.7225422023895749,0.3748225331605782,Semiconductors & Semiconductor Equipment,5.77,,,,0.0023384295393967
AMAT,2018-01-01,2.641838710407584,1.5987717514838835,0.1788701424806492,0.277980643565468,0.3685750828909436,0.3323482474183953,Semiconductors & Semiconductor Equipment,6.9,,,,0.0019925006245687
AMAT,2019-01-01,2.2950303339693767,1.3160457865546489,0.1400861930213333,0.2293263976216493,0.3346901049190298,0.2958189309014979,Semiconductors & Semiconductor Equipment,6.7,,,,0.0051275527154499
AMAT,2020-01-01,2.998205887753167,1.1131593833467022,0.1705943698273102,0.2537495657749638,0.487303615023707,0.3404015441823709,Semiconductors & Semiconductor Equipment,6.8,,,,0.0016493882655366
AMAT,2021-01-01,2.5389344119169786,1.1086796759100337,0.2203946501540962,0.2987035487694977,0.4020474322924871,0.3874327338891684,Semiconductors & Semiconductor Equipment,6.16,,,,0.0018263124192549
AMAT,2022-01-01,2.1581514979442744,1.1917336454932466,0.2274258817093437,0.302036065384932,0.1776080349359816,0.3460838031828231,Semiconductors & Semiconductor Equipment,6.54,,,,0.0026908278085671
AMAT,2023-01-01,2.5972599016691147,0.8795644956656437,0.2200749505356076,0.2886450180976815,0.4776773288184106,0.5967722144290963,Semiconductors & Semiconductor Equipment,6.54,,,,0.0012478766410761
AMCR,2016-01-01,0.8759738655088599,9.268598908546576,0.0280581129139396,0.0586437087622024,0.0658065938594939,0.1400049917942295,Containers & Packaging,5.46,3.96,6.78,6.83,0.0040042817253378
AMCR,2017-01-01,0.8190858330464486,9.188782794291528,0.0688484356796918,0.1027029976537244,0.0685441500712389,0.1313782892328492,Containers & Packaging,6.1,5.01,6.73,7.26,0.0026922386941523
