TICKER,Year,Current_Ratio,Debt_to_Equity,Net_Income_to_Assets,Operating_Margin,Cash_Ratio,Operating_Cash_Flow_Ratio,Settore,esg overall,esg environmental,esg social,esg governance,downside risk
AAL,2018,0.47728780010706123,-359.4614809669823,0.02262091935329002,0.059630452599186375,0.07835519894502477,0.05644290002712218,Passenger Transportation Services,3.47,0.93,4.41,7.78,
AAL,2019,0.4481459241385417,-509.4324346957225,0.028192008986164703,0.06696818770626904,0.06364679872703903,0.06366630419472871,Passenger Transportation Services,5.08,3.77,5.03,7.71,0.0018539640819215137
AAL,2020,0.6696239966575999,-10.02985294448303,-0.15365800989144607,-0.6010843870341075,0.09965880171432147,-0.10187340017903576,Passenger Transportation Services,4.67,2.86,5.33,7.14,0.025395611259559175
AAL,2021,0.9121330111010265,-10.055449524939318,-0.028881845413662004,-0.03543939398272827,0.1684257594703202,0.009187531819829765,Passenger Transportation Services,5.59,5.72,4.72,6.95,0.011002876344130472
AAL,2022,0.7103181953774791,-12.159855182994542,0.002000066904855721,0.032815339145244274,0.12713607020468937,0.03140730865111042,Passenger Transportation Services,5.55,6.29,3.95,7.33,0.007226555258523885
AAL,2023,0.6151754148753007,-13.121876084307084,0.013338441743803536,0.0574751847150403,0.11101670115662546,0.057007702493896105,Passenger Transportation Services,5.55,6.29,3.95,7.33,0.004693616203366668
ABNB,2017,,,,-0.03176068740477027,,,Software & IT Services,,,,,
ABNB,2018,1.57240798805513,1.4364835573226362,-0.0024743295003100555,0.005132536099145261,0.8539106651802653,0.1482472387424161,Software & IT Services,,,,,
ABNB,2019,1.2536757484565706,2.4285257030781042,-0.08140565175986245,-0.10437420918597137,0.5222757928305044,0.03795892128993111,Software & IT Services,,,,,
ABNB,2020,1.7347800411491214,2.6155353539149426,-0.4686195354877106,-1.0627399634028127,0.8420943635872978,-0.08897659003672567,Software & IT Services,4.03,2.67,4.04,5.58,
ABNB,2021,1.9477639247389944,1.8704560102417216,-0.02473541235600246,0.07165123944308231,0.9316801331737492,0.23611383245447326,Software & IT Services,3.23,2.53,2.28,6.02,0.012102174877018134
ABNB,2022,1.8627475567796785,1.8845323758469879,0.12029647818338662,0.21454935531291963,0.9183050213532036,0.33363240923306603,Software & IT Services,2.61,2.55,1.13,6.04,0.00922348323681853
ABNB,2023,1.6591959758975596,1.5284752061315345,0.23750645297281778,0.1530704898556258,0.8069711533240339,0.3184477083933871,Software & IT Services,2.61,2.55,1.13,6.04,0.004014541957004943
ACGL,2012,,2.4469302884760227,,,,0.07483243396991947,,,,,,
ACGL,2013,,2.4645609023869723,,,,0.06348515524565046,,,,,,
ACGL,2014,,2.091815912095817,,,,0.06354236561829502,,,,,,
ACGL,2015,,2.242077734045621,,,,0.06098762816823617,Insurance,1.45,0.0,0.5,6.1,
ACGL,2016,,2.154517739604013,,,,0.06637611825444,Insurance,1.41,0.0,0.5,5.86,0.0038317134770264193
ACGL,2017,,2.128231635536361,,,,0.05441012074941908,Insurance,1.44,0.0,0.5,5.99,0.00262983735818557
